tz,name,feature,long,countycode,state,pop,elev,lat,featclass,wikilink,id
America/Chicago,Coosada,PPL,-86.33136,051,AL,1513,55,32.49791,P,"36020,http://en.wikipedia.org/wiki/Coosada%2C_Alabama",4056837
America/Chicago,Cordova,PPL,-87.18333,127,AL,2284,93,33.75983,P,"35550,http://en.wikipedia.org/wiki/Cordova%2C_Alabama",4056920
America/Chicago,Cottonwood,PPL,-85.30493,069,AL,1159,50,31.04879,P,"36320,http://en.wikipedia.org/wiki/Cottonwood%2C_Alabama",4057139
America/Chicago,County Line,PPL,-86.7186,009,AL,257,169,33.82149,P,http://en.wikipedia.org/wiki/County_Line%2C_Alabama,4057203
America/Chicago,Courtland,PPL,-87.30946,079,AL,751,174,34.66898,P,"35618,http://en.wikipedia.org/wiki/Courtland%2C_Alabama",4057261
America/Chicago,Cowarts,PPL,-85.30465,069,AL,1595,99,31.20018,P,"36321,http://en.wikipedia.org/wiki/Cowarts%2C_Alabama",4057320
America/Chicago,Creola,PPL,-88.03972,097,AL,2050,6,30.89185,P,"36525,http://en.wikipedia.org/wiki/Creola%2C_Alabama",4057531
America/Chicago,Crossville,PPL,-85.99414,049,AL,1441,347,34.28759,P,"35962,http://en.wikipedia.org/wiki/Crossville%2C_Alabama",4057731
America/Chicago,Cuba,PPL,-88.37642,119,AL,329,66,32.4282,P,"36907,http://en.wikipedia.org/wiki/Cuba%2C_Alabama",4057830
America/Chicago,Cullman,PPL,-86.84361,043,AL,14796,242,34.17482,P,"35055,35056,35057,35058,http://en.wikipedia.org/wiki/Cullman%2C_Alabama",4057835
America/Chicago,Dadeville,PPL,-85.76357,123,AL,3111,221,32.83124,P,"36853,http://en.wikipedia.org/wiki/Dadeville%2C_Alabama",4058027
America/Chicago,Daleville,PPL,-85.71299,045,AL,4567,102,31.31017,P,"36322,http://en.wikipedia.org/wiki/Daleville%2C_Alabama",4058061
America/Chicago,Daphne,PPL,-87.9036,003,AL,18581,49,30.60353,P,"36526,http://en.wikipedia.org/wiki/Daphne%2C_Alabama",4058219
America/Chicago,Dauphin Island,PPL,-88.10972,097,AL,1482,2,30.25548,P,"36528,http://en.wikipedia.org/wiki/Dauphin_Island%2C_Alabama",4058262
America/Chicago,Daviston,PPL,-85.63968,123,AL,254,232,33.0529,P,36256,4058417
America/Chicago,Dayton,PPL,-87.64195,091,AL,63,74,32.35097,P,"Dejton,http://en.wikipedia.org/wiki/Dayton%2C_Alabama,Дейтон",4058460
America/Chicago,Deatsville,PPL,-86.39581,051,AL,370,95,32.60819,P,"36022,http://en.wikipedia.org/wiki/Deatsville%2C_Alabama",4058543
America/Chicago,Decatur,PPL,-86.98334,103,AL,54621,171,34.60593,P,"35601,35602,35603,35609,35699,Decatur,Dekejter,decatur,http://en.wikipedia.org/wiki/Decatur%2C_Alabama,Декейтер",4058553
America/Chicago,Demopolis,PPL,-87.8364,091,AL,7253,37,32.51764,P,"36732,http://en.wikipedia.org/wiki/Demopolis%2C_Alabama",4058662
America/Chicago,Detroit,PPL,-88.17004,075,AL,225,110,34.02816,P,"35552,Detroit,http://en.wikipedia.org/wiki/Detroit%2C_Alabama,Детроит",4058738
America/Chicago,Dodge City,PPL,-86.88583,043,AL,621,191,34.04066,P,"Dodzh-siti,http://en.wikipedia.org/wiki/Dodge_City%2C_Alabama,Додж-сити",4058971
America/Chicago,Dora,PPL,-87.09028,127,AL,2328,120,33.72872,P,"35062,http://en.wikipedia.org/wiki/Dora%2C_Alabama",4059070
America/Chicago,Dothan,PPL,-85.39049,069,AL,61741,98,31.22323,P,"36301,36302,36303,36304,36305,Dothan,http://en.wikipedia.org/wiki/Dothan%2C_Alabama",4059102
America/Chicago,Double Springs,PPL,-87.40224,133,AL,959,251,34.14649,P,"35553,http://en.wikipedia.org/wiki/Double_Springs%2C_Alabama",4059162
America/Chicago,Douglas,PPL,-86.32359,095,AL,530,293,34.17371,P,"35964,http://en.wikipedia.org/wiki/Douglas%2C_Alabama",4059172
America/Chicago,Dozier,PPL,-86.36496,041,AL,379,73,31.49211,P,"36028,http://en.wikipedia.org/wiki/Dozier%2C_Alabama",4059229
America/Chicago,Dutton,PPL,-85.91692,071,AL,308,416,34.61092,P,"35744,http://en.wikipedia.org/wiki/Dutton%2C_Alabama",4059701
America/Chicago,East Brewton,PPL,-87.06275,053,AL,2409,30,31.09323,P,http://en.wikipedia.org/wiki/East_Brewton%2C_Alabama,4059831
America/Chicago,East Florence,PPL,-87.64947,077,AL,35733,167,34.80953,P,,4059870
America/Chicago,Eclectic,PPL,-86.03441,051,AL,1107,176,32.63541,P,"36024,http://en.wikipedia.org/wiki/Eclectic%2C_Alabama",4060176
America/Chicago,Edgewater,PPL,-86.95777,073,AL,744,162,33.52677,P,http://en.wikipedia.org/wiki/Edgewater%2C_Alabama,4060232
America/Chicago,Edwardsville,PPL,-85.50912,029,AL,186,296,33.70733,P,"36261,http://en.wikipedia.org/wiki/Edwardsville%2C_Alabama",4060298
America/Chicago,Edwardsville,PPL,-85.92691,055,AL,194,180,34.03954,P,,4060299
America/Chicago,Elberta,PPL,-87.59776,003,AL,583,20,30.41436,P,"36530,http://en.wikipedia.org/wiki/Elberta%2C_Alabama",4060381
America/Chicago,Eldridge,PPL,-87.61724,127,AL,173,169,33.92288,P,"35554,http://en.wikipedia.org/wiki/Eldridge%2C_Alabama",4060398
America/Chicago,Elkmont,PPL,-86.9739,083,AL,479,246,34.92897,P,"35620,http://en.wikipedia.org/wiki/Elkmont%2C_Alabama",4060461
America/Chicago,Emelle,PPL,-88.31448,119,AL,31,79,32.7293,P,"35459,http://en.wikipedia.org/wiki/Emelle%2C_Alabama",4060625
America/Chicago,Enterprise,PPL,-85.85522,031,AL,22572,108,31.31517,P,"36330,36331,http://en.wikipedia.org/wiki/Enterprise%2C_Alabama",4060791
America/Chicago,Epes,PPL,-88.12613,119,AL,190,52,32.69041,P,"35460,http://en.wikipedia.org/wiki/Epes%2C_Alabama",4060819
America/Chicago,Ethelsville,PPL,-88.2167,107,AL,78,112,33.41567,P,"35461,http://en.wikipedia.org/wiki/Ethelsville%2C_Alabama",4060927
America/Chicago,Eufaula,PPL,-85.14549,005,AL,13453,80,31.89127,P,"36027,36072,http://en.wikipedia.org/wiki/Eufaula%2C_Alabama",4060954
America/Chicago,Eunola,PPL,-85.84744,061,AL,181,42,31.0399,P,,4060971
America/Chicago,Eutaw,PPL,-87.88751,063,AL,1813,66,32.84068,P,"35462,http://en.wikipedia.org/wiki/Eutaw%2C_Alabama",4060991
America/Chicago,Eva,PPL,-86.75889,103,AL,490,336,34.33232,P,"35621,http://en.wikipedia.org/wiki/Eva%2C_Alabama",4060998
America/Chicago,Evergreen,PPL,-86.95692,035,AL,3630,83,31.4335,P,"36401,http://en.wikipedia.org/wiki/Evergreen%2C_Alabama",4061064
America/Chicago,Excel,PPL,-87.34137,099,AL,576,124,31.42794,P,"36439,http://en.wikipedia.org/wiki/Excel%2C_Alabama",4061113
America/Chicago,Fairfield,PPL,-86.91194,073,AL,11641,171,33.48594,P,"35064,Feurfild,http://en.wikipedia.org/wiki/Fairfield%2C_Alabama,Феърфилд",4061206
America/Chicago,Fairhope,PPL,-87.90333,003,AL,15419,37,30.52297,P,"36532,36533,http://en.wikipedia.org/wiki/Fairhope%2C_Alabama",4061234
America/Chicago,Fairview,PPL,-86.68805,043,AL,522,286,34.25537,P,http://en.wikipedia.org/wiki/Fairview%2C_Alabama,4061265
America/Chicago,Falkville,PPL,-86.90862,103,AL,1154,184,34.36843,P,"35622,http://en.wikipedia.org/wiki/Falkville%2C_Alabama",4061466
America/Chicago,Faunsdale,PPL,-87.59389,091,AL,85,67,32.45986,P,"36738,http://en.wikipedia.org/wiki/Faunsdale%2C_Alabama",4061575
America/Chicago,Fayette,PPL,-87.83085,057,AL,4671,111,33.68455,P,"35555,http://en.wikipedia.org/wiki/Fayette%2C_Alabama",4061586
America/Chicago,Five Points,PPL,-85.35023,017,AL,146,266,33.01818,P,"36855,http://en.wikipedia.org/wiki/Five_Points%2C_Alabama",4062312
America/Chicago,Flint City,PPL,-86.97029,103,AL,1033,184,34.52315,P,,4062523
America/Chicago,Florala,PPL,-86.328,039,AL,1834,80,31.00518,P,"36442,http://en.wikipedia.org/wiki/Florala%2C_Alabama",4062568
America/Chicago,Florence,PPL,-87.67725,077,AL,36264,167,34.79981,P,"35630,35631,35632,35633,35634,Florencija,http://en.wikipedia.org/wiki/Florence%2C_Alabama,Флоренция",4062577
America/Chicago,Flomaton,PPL,-87.26081,053,AL,1538,23,31.00018,P,"36441,http://en.wikipedia.org/wiki/Flomaton%2C_Alabama",4062595
America/Chicago,Foley,PPL,-87.6836,003,AL,10743,25,30.40659,P,"36535,36536,http://en.wikipedia.org/wiki/Foley%2C_Alabama",4062644
